,specific_pos,Cap%,Player,Salary
15,RD,4.8, Radko Gudas,4000000.0
16,RD,3.3, Ilya Lyubushkin,2750000.0
17,RD,1.1, Gustav Lindström,950000.0
18,LD/RD,1.1, Jackson LaCombe,925000.0
19,LD/RD,1.0, Urho Vaakanainen,850000.0
20,G,7.7, John Gibson,6400000.0
21,G,1.0, Lukas Dostal,812500.0
0,"LW, RW",12.6, Jonathan Huberdeau,10500000.0
1,C,8.4, Nazem Kadri,7000000.0
2,"RW, LW",6.9, Andrew Mangiapane,5800000.0
3,C,6.4, Mikael  Backlund,5350000.0
4,"RW, LW",5.9, Blake Coleman,4900000.0
5,C,5.8, Elias Lindholm,4850000.0
6,"RW, LW, C",3.7, Yegor Sharangovich,3100000.0
7,"LW, RW, C",2.8, Dillon Dubé,2300000.0
8,"LW, C",1.0, Connor Zary,863333.0
9,"RW, C",1.0, Adam Klapka,832500.0
10,RW,0.9, Martin Pospisil,775000.0
11,"RW, LW",0.9, AJ Greer,762500.0
12,"LW, C",0.9, Adam Ruzicka,762500.0
13,LD/RD,7.5, MacKenzie Weegar,6250000.0
14,LD,5.9, Noah Hanifin,4950000.0
15,RD,5.4, Rasmus Andersson,4550000.0
16,RD,5.4, Christopher Tanev,4500000.0
17,LD/RD,1.1, Jordan Oesterle,925000.0
18,RD,0.9, Nick DeSimone,762500.0
19,G,7.2, Jacob Markström,6000000.0
20,G,2.6, Daniel Vladar,2200000.0
21,G,1.0, Dustin Wolf,813333.0
0,C,15.0, Connor  McDavid,12500000.0
1,"C, LW",10.2, Leon  Draisaitl,8500000.0
2,"RW, LW",6.6, Zach Hyman,5500000.0
3,"LW, RW",6.1, Evander Kane,5125000.0
4,"LW, C",6.1, Ryan  Nugent-Hopkins,5125000.0
5,"LW, RW",3.3, Warren Foegele,2750000.0
6,C,2.5, Ryan McLeod,2100000.0
7,"LW, RW",1.2, Mattias Janmark,1000000.0
8,"C, RW",1.1, Derek Ryan,900000.0
9,"RW, C",1.0, James Hamblin,807500.0
10,"RW, LW",0.9, Connor Brown,775000.0
11,"LW, RW",0.9, Adam Erne,775000.0
12,"RW, C",0.9, Sam Gagner,775000.0
13,LD,11.1, Darnell  Nurse,9250000.0
14,LD/RD,7.2, Mattias Ekholm,6000000.0
15,RD,4.7, Evan Bouchard,3900000.0
16,RD,3.9, Cody Ceci,3250000.0
17,LD/RD,3.3, Brett Kulak,2750000.0
18,RD,0.9, Philip Kemp,775000.0
19,RD,0.9, Vincent Desharnais,762500.0
20,G,3.1, Stuart Skinner,2600000.0
21,G,0.9, Calvin Pickard,762500.0
0,C,12.0, Anze  Kopitar,10000000.0
1,C,10.2, Pierre-Luc Dubois,8500000.0
2,"RW, LW",9.4, Kevin Fiala,7875000.0
3,C,6.6, Phillip Danault,5500000.0
4,"LW, RW",6.6, Adrian Kempe,5500000.0
5,"LW, RW",5.0, Trevor Moore,4200000.0
6,C,2.0, Blake Lizotte,1675000.0
7,"LW, RW",1.6, Carl Grundström,1300000.0
8,"LW, C",1.1, Quinton Byfield,894167.0
9,"RW, LW",1.1, Arthur Kaliyev,894167.0
10,RW,1.0, Alex Laferriere,875000.0
11,"C, LW, RW",0.9, Jaret Anderson-Dolan,775000.0
12,"RW, C",0.9, Trevor Lewis,775000.0
13,RD,13.2, Drew  Doughty,11000000.0
14,LD,7.0, Vladislav Gavrikov,5875000.0
15,LD,4.9, Michael Anderson,4125000.0
16,RD,3.8, Matt Roy,3150000.0
17,LD,1.2, Andreas Englund,1000000.0
18,RD,1.0, Brandt Clarke,863333.0
19,RD,1.0, Jordan Spence,820000.0
20,G,1.2, Cam Talbot,1000000.0
21,G,1.0, David Rittich,875000.0
0,C,9.7, Tomas  Hertl,8137500.0
1,"C, RW",6.0, Mikael Granlund,5000000.0
2,"RW, LW",5.7, Kevin Labanc,4725000.0
3,LW,5.4, Mike Hoffman,4500000.0
4,"LW, RW",3.6, Anthony Duclair,3000000.0
5,"RW, C",3.3, Luke Kunin,2750000.0
6,"RW, LW",3.0, Alexander Barabanov,2500000.0
7,RW,1.7, Fabian Zetterlund,1450000.0
8,"RW, LW",1.3, Filip Zadina,1100000.0
9,LW,1.0, William Eklund,863333.0
10,RW,0.9, Justin Bailey,775000.0
11,"RW, C",0.9, Ryan Carpenter,775000.0
12,RW,0.9, Scott Sabourin,775000.0
13,LD/RD,8.4, Marc-Édouard Vlasic,7000000.0
14,LD,3.9, Mario Ferraro,3250000.0
15,LD/RD,3.3, Jan Rutta,2750000.0
16,LD/RD,1.3, Kyle Burroughs,1100000.0
17,LD,1.1, Henry Thrun,912500.0
18,RD,1.0, Calen Addison,825000.0
19,LD,0.9, Nikita Okhotiuk,789167.0
20,RD,0.9, Ty Emberson,775000.0
21,G,3.3, Kaapo Kähkönen,2750000.0
22,G,2.8, Mackenzie Blackwood,2350000.0
0,"RW, LW",6.6, André Burakovsky,5500000.0
1,RW,6.6, Jordan  Eberle,5500000.0
2,LW,6.6, Jaden  Schwartz,5500000.0
3,"RW, LW",6.5, Oliver Bjorkstrand,5400000.0
4,"C, LW, RW",6.2, Yanni  Gourde,5166666.0
5,"LW, C",6.0, Jared McCann,5000000.0
6,C,5.4, Alexander Wennberg,4500000.0
7,"LW, RW",4.2, Brandon Tanev,3500000.0
8,RW,1.8, Kailer Yamamoto,1500000.0
9,"LW, RW",1.8, Tomas Tatar,1500000.0
10,"LW, RW",1.7, Eeli Tolvanen,1450000.0
11,LW,1.0, Tye Kartye,859167.0
12,"C, RW",0.9, John Hayden,775000.0
13,"LW, RW",0.9, Devin Shore,775000.0
14,LD/RD,8.8, Vince Dunn,7350000.0
15,LD/RD,5.5, Jamie Oleksiak,4600000.0
16,RD,4.8, Adam  Larsson,4000000.0
17,LD,3.8, Brian Dumoulin,3150000.0
18,RD,3.6, Justin Schultz,3000000.0
19,RD,3.2, William Borgen,2700000.0
20,LD,1.1, Ryker Evans,897500.0
21,G,4.2, Chris Driedger,3500000.0
22,G,1.4, Joey Daccord,1200000.0
0,"C, LW, RW",9.6, J.T. Miller,8000000.0
1,"C, LW",8.8, Elias Pettersson,7350000.0
2,RW,8.0, Brock Boeser,6650000.0
3,"LW, RW",6.6, Andrei Kuzmenko,5500000.0
4,"RW, LW",5.9, Conor Garland,4950000.0
5,"LW, RW",5.7, Ilya Mikheyev,4750000.0
6,"C, LW",2.3, Teddy Blueger,1900000.0
7,"C, LW",1.9, Pius Suter,1600000.0
8,"RW, C, LW",1.4, Sam Lafferty,1150000.0
9,"LW, RW",1.3, Nils Höglander,1100000.0
10,C,1.1, Nils Åman,883750.0
11,LW,1.0, Dakota Joshua,825000.0
12,LD,9.4, Quinn  Hughes,7850000.0
13,RD,7.2, Tyler Myers,6000000.0
14,RD,5.3, Filip Hronek,4400000.0
15,LD/RD,4.5, Nikita Zadorov,3750000.0
16,LD/RD,3.9, Carson Soucy,3250000.0
17,LD/RD,3.6, Ian Cole,3000000.0
18,LD/RD,0.9, Mark Friedman,775000.0
19,RD,0.9, Noah Juulsen,775000.0
20,G,6.0, Thatcher Demko,5000000.0
21,G,2.2, Casey DeSmith,1800000.0
0,RW,11.4, Mark  Stone,9500000.0
1,"RW, LW",6.0, Jonathan Marchessault,5000000.0
2,"LW, C",6.0, Ivan Barbashev,5000000.0
3,"C, RW",3.6, Nicolas Roy,3000000.0
4,"C, LW",3.3, Chandler Stephenson,2750000.0
5,"C, LW",2.3, Brett Howden,1900000.0
6,RW,1.7, Keegan Kolesar,1400000.0
7,"C, LW, RW",1.1, Brendan Brisson,925000.0
8,"LW, RW",1.0, Pavel Dorofeyev,825000.0
9,"LW, C",0.9, Paul Cotter,775000.0
10,"LW, C, RW",0.9, Michael Amadio,762500.0
11,C,0.9, Byron Froese,762500.0
12,RD,10.5, Alex  Pietrangelo,8800000.0
13,LD,6.3, Alec Martinez,5250000.0
14,LD,3.4, Brayden McNabb,2850000.0
15,RD,3.3, Zach Whitecloud,2750000.0
16,LD,2.7, Nicolas Hague,2294150.0
17,RD,0.9, Kaedan Korczak,789167.0
18,RD,0.9, Brayden Pachal,775000.0
19,G,1.0, Isaiah Saville,849667.0
20,G,0.9, Jiri Patera,775000.0
21,G,0.9, Logan Thompson,766667.0
